Hora de Solicitud,Hora de Respuesta,Respuesta del Endpoint
2024-05-12T01:18:06.478864Z,2024-05-12T01:18:07.530122Z,"{""message"":""Entreno creado con \u00e9xito y enviado a estrava""}"
2024-05-12T01:25:10.436690Z,2024-05-12T01:25:11.929713Z,"{""message"":""Entreno creado con \u00e9xito y enviado a estrava""}"
2024-05-12T01:25:36.506041Z,2024-05-12T01:25:38.189845Z,"{""message"":""Entreno creado con \u00e9xito y enviado a estrava""}"
2024-05-12T01:25:54.002022Z,2024-05-12T01:25:55.599946Z,"{""message"":""Entreno creado con \u00e9xito y enviado a estrava""}"
2024-05-12T01:25:56.262885Z,2024-05-12T01:25:57.650274Z,"{""message"":""Entreno creado con \u00e9xito y enviado a estrava""}"
2024-05-12T01:25:58.273531Z,2024-05-12T01:25:59.488614Z,"{""message"":""Entreno creado con \u00e9xito y enviado a estrava""}"
2024-05-12T01:26:00.145248Z,2024-05-12T01:26:01.536868Z,"{""message"":""Entreno creado con \u00e9xito y enviado a estrava""}"
2024-05-12T01:26:49.888291Z,2024-05-12T01:26:51.511902Z,"{""message"":""Entreno creado con \u00e9xito y enviado a estrava""}"
2024-05-12T01:26:52.204744Z,2024-05-12T01:26:53.410263Z,"{""message"":""Entreno creado con \u00e9xito y enviado a estrava""}"
2024-05-12T01:26:54.006499Z,2024-05-12T01:26:55.295876Z,"{""message"":""Entreno creado con \u00e9xito y enviado a estrava""}"
2024-05-12T01:26:55.876778Z,2024-05-12T01:26:57.140565Z,"{""message"":""Entreno creado con \u00e9xito y enviado a estrava""}"
2024-05-12T01:26:57.772542Z,2024-05-12T01:26:59.092850Z,"{""message"":""Entreno creado con \u00e9xito y enviado a estrava""}"
2024-05-12T01:27:22.447529Z,2024-05-12T01:27:23.943762Z,"{""message"":""Entreno creado con \u00e9xito y enviado a estrava""}"
2024-05-12T01:27:28.973606Z,2024-05-12T01:27:30.217003Z,"{""message"":""Entreno creado con \u00e9xito y enviado a estrava""}"
